AC_YEAR,STATNAME,DISTNAME,TOTPOPULAT,OVERALL_LI,FEMALE_LIT,MALE_LIT,SCHTOT,ENRTOT,TCHTOT,STR,SCHOOLS_PER_10K
0.0,Jammu & Kashmir,Kupwara,875564.0,66.92,54.79,77.1,2076,127558,9757,13.073485702572512,23.710431219191285
0.0,Jammu & Kashmir,Baramula,1015503.0,66.93,55.01,77.35,2310,183107,12708,14.408797607806106,22.74734786603289
0.0,Jammu & Kashmir,Srinagar,1269751.0,71.21,63.47,77.95,985,119458,10534,11.340231630909436,7.757426456053195
0.0,Jammu & Kashmir,Badgam,735753.0,57.98,46.6,68.56,1468,95521,8316,11.486411736411737,19.95234813857368
0.0,Jammu & Kashmir,Pulwama,570060.0,65.0,53.81,75.41,1028,61345,6179,9.927981874089658,18.033189488825737
0.0,Jammu & Kashmir,Anantnag,1070144.0,64.32,54.15,74.13,1885,118203,11784,10.030804480651732,17.614451886848872
0.0,Jammu & Kashmir,Leh (Ladakh),147104.0,80.48,64.52,89.39,375,15584,2569,6.066173608407941,25.492168805742875
0.0,Jammu & Kashmir,Kargil,143388.0,74.49,58.05,86.73,586,19483,2766,7.043745480838757,40.868134014003964
0.0,Jammu & Kashmir,Doda,409576.0,65.97,50.34,80.36,1459,76451,6849,11.162359468535552,35.62220442604059
0.0,Jammu & Kashmir,Udhampur,555357.0,69.9,58.22,79.93,1745,95087,7854,12.106824548001018,31.421229947583267
0.0,Jammu & Kashmir,Punch,476820.0,68.69,54.8,81.04,1693,96743,7043,13.736049978702258,35.50606098737469
0.0,Jammu & Kashmir,Rajauri,619266.0,68.54,57.2,78.38,1967,126130,9090,13.875687568756875,31.763410230821652
0.0,Jammu & Kashmir,Jammu,1526406.0,83.98,77.41,89.77,2408,218730,19341,11.309136032263067,15.775619330636802
0.0,Jammu & Kashmir,Kathua,615711.0,73.5,64.56,81.4,1758,96778,8859,10.924257816909357,28.55235654389803
0.0,Jammu & Kashmir,Shopian,265960.0,62.49,52.77,71.86,646,41640,3721,11.190540177371675,24.28936682207851
0.0,Jammu & Kashmir,Bandipora,385099.0,57.82,46.24,68.41,858,57358,4229,13.56301726176401,22.279985146676566
0.0,Jammu & Kashmir,Kishtwar,231037.0,58.54,44.13,71.75,874,41099,3744,10.977297008547009,37.82943857477374
0.0,Jammu & Kashmir,Ramban,283313.0,56.9,40.04,71.97,924,56874,3755,15.146205059920106,32.614105247553056
0.0,Jammu & Kashmir,Ganderbal,297003.0,59.99,47.62,70.74,675,40776,4055,10.0557336621455,22.727043161180188
0.0,Jammu & Kashmir,Kulgam,422786.0,60.35,49.74,70.58,970,59995,5481,10.945995256340083,22.943049202196857
0.0,Jammu & Kashmir,Reasi,314714.0,59.42,47.55,69.93,1201,62352,4525,13.779447513812155,38.16163246630274
0.0,Jammu & Kashmir,Samba,318611.0,82.48,74.39,89.76,687,46504,4688,9.919795221843003,21.56234404964047
0.0,Himachal Pradesh,Chamba,518844.0,73.19,62.14,84.19,1773,83121,7250,11.46496551724138,34.172121099983805
0.0,Himachal Pradesh,Kangra,1507223.0,86.49,80.62,92.55,3129,184909,18804,9.833492873856626,20.760033518596785
0.0,Himachal Pradesh,Lahul & Spiti,31528.0,77.24,66.5,86.97,278,3205,1093,2.9322964318389753,88.17558995178888
0.0,Himachal Pradesh,Kullu,437474.0,80.14,71.01,88.8,1185,65171,5594,11.650160886664283,27.087324046686202
0.0,Himachal Pradesh,Mandi,999518.0,82.81,74.33,91.51,2848,128534,13698,9.383413637027303,28.493733979778252
0.0,Himachal Pradesh,Hamirpur (H.P.),454293.0,89.01,83.44,95.28,988,58091,6443,9.016141548967871,21.748078883011626
0.0,Himachal Pradesh,Una,521057.0,87.23,81.67,92.75,906,72899,6005,12.139716902581183,17.387733011935357
0.0,Himachal Pradesh,Bilaspur (H.P.),382056.0,85.67,78.9,92.39,1025,48481,5517,8.787565705999638,26.828527755093493
0.0,Himachal Pradesh,Solan,576670.0,85.02,78.02,91.19,1305,96717,7676,12.599921834288692,22.62992699464165
0.0,Himachal Pradesh,Sirmaur,530164.0,79.98,72.55,86.76,1587,86276,7059,12.22212778013883,29.93413358885175
0.0,Himachal Pradesh,Shimla,813384.0,84.55,77.8,90.73,2687,113391,14041,8.075706858485862,33.03482733862481
0.0,Himachal Pradesh,Kinnaur,84298.0,80.77,71.34,88.37,313,9971,1685,5.917507418397626,37.13018102446084
0.0,Punjab,Gurdaspur,2299026.0,81.06,75.73,85.9,2161,227173,16106,14.10486775114864,9.399632714027593
0.0,Punjab,Amritsar,2490891.0,77.2,72.75,81.2,2251,373596,22246,16.79385057987953,9.036926947024178
0.0,Punjab,Kapurthala,817668.0,80.18,75.36,84.6,1073,117749,8265,14.24670296430732,13.122685490932751
0.0,Punjab,Jalandhar,2181753.0,82.4,78.31,86.1,2228,302486,18804,16.086258242927038,10.211971749322679
0.0,Punjab,Hoshiarpur,1582793.0,85.43,80.78,89.9,2286,217179,15474,14.035091120589376,14.442823540412423
0.0,Punjab,Nawanshahr,614362.0,80.33,74.28,86.2,822,80056,5332,15.014253563390847,13.379733772596614
0.0,Punjab,Rupnagar,683349.0,83.28,77.17,88.9,1019,90156,6312,14.283269961977187,14.911853240437901
0.0,Punjab,Fatehgarh Sahib,599814.0,80.33,75.53,84.5,833,77779,5927,13.122827737472583,13.887638501268727
0.0,Punjab,Ludhiana,3487882.0,82.54,78.16,86.3,2961,544178,33593,16.19914863215551,8.489392703078831
0.0,Punjab,Moga,992289.0,71.59,67.41,75.3,857,138876,8270,16.792744860943166,8.636596797908673
0.0,Punjab,Firozpur,2026831.0,69.85,62.24,76.7,1118,141233,7595,18.595523370638578,5.516000100649733
0.0,Punjab,Muktsar,902702.0,66.79,60.03,72.9,783,126576,7665,16.513502935420743,8.673958847991917
0.0,Punjab,Faridkot,618008.0,70.65,64.82,75.9,560,89417,5566,16.06485806683435,9.061371373833348
0.0,Punjab,Bathinda,1388859.0,69.57,62.92,75.3,1019,188231,11219,16.77787681611552,7.336957891333822
0.0,Punjab,Mansa,768808.0,62.78,56.41,68.4,677,109805,6113,17.962538851627677,8.805839689493347
0.0,Punjab,Sangrur,1654408.0,68.88,62.86,74.2,1560,224907,14749,15.248966031595362,9.429354790354012
0.0,Punjab,Patiala,1892282.0,76.26,70.47,81.4,2035,273899,18329,14.943477549238912,10.75421105310942
0.0,Punjab,Mohali,986147.0,84.87,80.01,89.2,1034,142256,9919,14.3417683234197,10.48525219870871
0.0,Punjab,Taran Taran,1120070.0,69.43,62.88,75.4,1164,169260,8442,20.049751243781095,10.392207629880275
0.0,Punjab,Barnala,596294.0,68.9,64.14,73.1,470,83134,5121,16.23393868385081,7.88201793075228
0.0,Punjab,Fazilka,0.0,0.0,0.0,0.0,1063,154963,8753,17.70398720438707,inf
0.0,Punjab,Pathankot,0.0,0.0,0.0,0.0,802,89530,6670,13.422788605697152,inf
0.0,Chandigarh,Chandigarh,1054686.0,86.43,81.38,90.54,201,157921,9309,16.964335589214738,1.9057804882211389
0.0,Uttarakhand,Uttarkashi,329686.0,75.98,62.23,89.26,1352,59660,5235,11.396370582617001,41.0087173856336
0.0,Uttarakhand,Chamoli,391114.0,83.48,73.2,94.18,1640,60609,7023,8.630072618539085,41.931508460448875
0.0,Uttarakhand,Rudraprayag,236857.0,82.09,70.94,94.97,986,39155,4268,9.174086223055296,41.62849314143133
0.0,Uttarakhand,Tehri Garhwal,616409.0,75.1,61.77,89.91,2471,100349,10513,9.54522971559022,40.08702014409264
0.0,Uttarakhand,Dehradun,1698560.0,85.24,79.61,90.32,2449,281893,12948,21.77116156935434,14.418095327807082
0.0,Uttarakhand,Garhwal,686527.0,82.59,73.26,93.18,2676,98256,11208,8.766595289079229,38.97880199904738
0.0,Uttarakhand,Pithoragarh,485993.0,82.93,72.97,93.45,1987,72897,8673,8.405050155655482,40.88536254637412
0.0,Uttarakhand,Bageshwar,259840.0,80.69,69.59,93.2,995,40231,3428,11.735997666277713,38.29279556650246
0.0,Uttarakhand,Almora,621927.0,81.06,70.44,93.57,2241,89753,7878,11.392866209697893,36.03316787983156
0.0,Uttarakhand,Champawat,259315.0,80.73,68.81,92.65,854,44852,3676,12.201305767138194,32.9329194223242
0.0,Uttarakhand,Nainital,955128.0,84.85,78.21,91.09,1991,158884,10085,15.754486861675757,20.84537360437554
0.0,Uttarakhand,Udham Singh Nagar,1648367.0,74.44,65.73,82.48,2105,323937,14612,22.169244456611004,12.770214400069886
0.0,Uttarakhand,Hardwar,1927029.0,74.62,65.96,82.26,1913,342197,9827,34.8221227231098,9.92719881226489
0.0,Haryana,Panchkula,558890.0,83.44,77.48,88.65,554,90031,4789,18.79954061390687,9.912505144124962
0.0,Haryana,Ambala,1136784.0,82.89,76.64,88.47,1083,151767,9139,16.606521501258342,9.52687581809737
0.0,Haryana,Yamunanagar,1214162.0,78.93,71.99,85.06,1287,159168,8411,18.923790274640353,10.599903472518495
0.0,Haryana,Kurukshetra,964231.0,76.7,69.18,83.46,1083,135462,8147,16.62722474530502,11.231748408835642
0.0,Haryana,Kaithal,1072861.0,70.56,60.69,79.33,918,159659,9180,17.392047930283223,8.556560449116894
0.0,Haryana,Karnal,1506323.0,76.44,68.29,83.73,1346,229568,13109,17.512243496834238,8.935666520394363
0.0,Haryana,Panipat,1202811.0,77.46,68.23,85.45,790,182944,8763,20.876868652288028,6.567947915341645
0.0,Haryana,Sonipat,1480080.0,80.83,70.88,89.4,1260,213429,13680,15.601535087719299,8.51305334846765
0.0,Haryana,Jind,1332042.0,72.73,61.58,82.49,1091,184539,10732,17.19521058516586,8.190432433812147
0.0,Haryana,Fatehabad,941522.0,69.13,59.29,78.1,911,139636,7225,19.326782006920414,9.675822763567925
0.0,Haryana,Sirsa,1295114.0,70.35,61.16,78.64,1159,188907,9921,19.041124886604173,8.949019159703317
0.0,Haryana,Hisar,1742815.0,73.24,62.31,82.79,1483,241866,15957,15.157360406091371,8.5092221492241
0.0,Haryana,Bhiwani,1629109.0,76.74,64.8,87.39,1671,232710,15314,15.195899177223456,10.257140559655614
0.0,Haryana,Rohtak,1058683.0,80.37,71.19,88.42,766,136887,8001,17.108736407949007,7.235404743440671
0.0,Haryana,Jhajjar,956907.0,80.83,70.96,89.44,894,135248,9273,14.585139652755311,9.34260069160326
0.0,Haryana,Mahendragarh,921680.0,78.87,65.25,91.28,1053,117341,8580,13.676107226107225,11.424789514799063
0.0,Haryana,Rewari,896129.0,82.23,70.54,92.92,933,122270,8056,15.177507447864945,10.411447459015388
0.0,Haryana,Gurgaon,1514085.0,84.44,77.64,90.27,959,229219,10013,22.892140217716967,6.333858402929822
0.0,Haryana,Faridabad,1798954.0,83.04,75.17,89.94,1032,300394,11474,26.18040787868224,5.736666974252816
0.0,Haryana,Mewat,1089406.0,56.14,37.58,72.98,992,195218,6155,31.71697806661251,9.105879717938032
0.0,Haryana,Palwal,1040493.0,70.32,56.4,82.6,1003,184681,9051,20.404485692188707,9.639661199066213
0.0,Delhi,North West Delhi,3651261.0,84.66,78.76,89.74,1181,657823,30512,21.55948479286838,3.23449898541901
0.0,Delhi,North Delhi,883418.0,86.81,81.92,91.06,343,134579,5753,23.392838519033546,3.8826467198993004
0.0,Delhi,North East Delhi,2240749.0,82.8,76.51,88.39,866,449376,17056,26.347091932457786,3.8647791430454723
0.0,Delhi,East Delhi,1707725.0,88.75,84.55,92.47,624,316321,14657,21.58156512246708,3.6539841016557117
0.0,Delhi,New Delhi,133713.0,89.38,84.83,93.04,95,57254,3613,15.846664821477995,7.104769169789026
0.0,Delhi,Central Delhi,578671.0,85.25,82.6,87.6,241,79757,4328,18.428142329020332,4.16471535639422
0.0,Delhi,West Delhi,2531583.0,87.12,82.5,91.17,808,458378,21238,21.582917412185704,3.1916788823435773
0.0,Delhi,South West Delhi,2292363.0,88.81,83.07,93.62,742,391118,20708,18.88728993625652,3.236834654895407
0.0,Delhi,South Delhi,2733752.0,87.03,80.99,92.2,851,462404,20984,22.03602744948532,3.1129378231822056
0.0,Rajasthan,Ganganagar,1969520.0,70.25,60.07,79.33,3237,312292,19968,15.639623397435898,16.43547666436492
0.0,Rajasthan,Hanumangarh,1779650.0,68.37,56.91,78.82,2155,288090,16227,17.753743760399335,12.10912258028264
0.0,Rajasthan,Bikaner,2367745.0,65.92,53.77,76.9,3386,429601,20970,20.486456843109202,14.300526450272306
0.0,Rajasthan,Churu,2041172.0,67.46,54.25,79.95,2667,372772,20009,18.63021640261882,13.066022853537085
0.0,Rajasthan,Jhunjhunun,2139658.0,74.72,61.15,87.88,3012,347288,22884,15.176018178640097,14.077016046489673
0.0,Rajasthan,Alwar,3671999.0,71.68,56.78,85.08,5269,671048,35860,18.712994980479642,14.34913244802082
